Country,Code,Year,Aquaculture (tonnes),Fisheries (tonnes),Consumption (kg per capita),Artisanal,Industrial,Recreational,Subsistence,Stocks_within,Stocks_overexploited,p_increase_aqua,p_increase_fish,p_increase_consumption,p_increase_artisanal,p_increase_industrial,p_increase_recreational,p_increase_subsistence,p_increase_share_within,p_increase_share_over
Antigua and Barbuda,ATG,2015,10,3165,53.59,,,,,,,-23.08%,1.64%,-1.07%,,,,,,
Antigua and Barbuda,ATG,2016,10,3165,53.04,,,,,,,0.00%,0.00%,-1.03%,,,,,,
Antigua and Barbuda,ATG,2017,10,3165,52.54,,,,,,,0.00%,0.00%,-0.94%,,,,,,
Argenti,ARG,1961,0,101900,4.17,,,,,,,,,,,,,,,
Argenti,ARG,1962,1,101306,4.13,,,,,,,,-0.58%,-0.96%,,,,,,
Argenti,ARG,1963,2,130571,5.13,,,,,,,100.00%,28.89%,24.21%,,,,,,
Argenti,ARG,1964,4,168604,6.83,,,,,,,100.00%,29.13%,33.14%,,,,,,
Argenti,ARG,1965,5,205000,6.64,,,,,,,25.00%,21.59%,-2.78%,,,,,,
Argenti,ARG,1966,5,250800,6.06,,,,,,,0.00%,22.34%,-8.73%,,,,,,
Argenti,ARG,1967,8,240860,5.21,,,,,,,60.00%,-3.96%,-14.03%,,,,,,
Argenti,ARG,1968,11,223121,5.59,,,,,,,37.50%,-7.36%,7.29%,,,,,,
Argenti,ARG,1969,15,202800,5.06,,,,,,,36.36%,-9.11%,-9.48%,,,,,,
Argenti,ARG,1970,19,214500,5.28,,,,,,,26.67%,5.77%,4.35%,,,,,,
Argenti,ARG,1971,23,228608,6.54,,,,,,,21.05%,6.58%,23.86%,,,,,,
Argenti,ARG,1972,27,237948,5.86,,,,,,,17.39%,4.09%,-10.40%,,,,,,
Argenti,ARG,1973,31,301989,5.54,,,,,,,14.81%,26.91%,-5.46%,,,,,,
Argenti,ARG,1974,36,295965,6.27,,,,,,,16.13%,-1.99%,13.18%,,,,,,
Argenti,ARG,1975,42,232209,4.73,,,,,,,16.67%,-21.54%,-24.56%,,,,,,
Argenti,ARG,1976,49,281727,3.33,,,,,,,16.67%,21.32%,-29.60%,,,,,,
Argenti,ARG,1977,57,402723,4.55,,,,,,,16.33%,42.95%,36.64%,,,,,,
Argenti,ARG,1978,67,541892,7.01,,,,,,,17.54%,34.56%,54.07%,,,,,,
Argenti,ARG,1979,78,580657,7.65,,,,,,,16.42%,7.15%,9.13%,,,,,,
Argenti,ARG,1980,90,400011,6.01,,,,,,,15.38%,-31.11%,-21.44%,,,,,,
Argenti,ARG,1981,105,374777,6.04,,,,,,,16.67%,-6.31%,0.50%,,,,,,
Argenti,ARG,1982,123,488112,5.87,,,,,,,17.14%,30.24%,-2.81%,,,,,,
Argenti,ARG,1983,143,428064,5.89,,,,,,,16.26%,-12.30%,0.34%,,,,,,
Argenti,ARG,1984,150,322563,5.02,,,,,,,4.90%,-24.65%,-14.77%,,,,,,
Argenti,ARG,1985,270,419470,6.81,,,,,,,80.00%,30.04%,35.66%,,,,,,
Argenti,ARG,1986,270,422424,5.76,,,,,,,0.00%,0.70%,-15.42%,,,,,,
Argenti,ARG,1987,353,461568,5.25,,,,,,,30.74%,9.27%,-8.85%,,,,,,
Argenti,ARG,1988,353,496041,6.59,,,,,,,0.00%,7.47%,25.52%,,,,,,
Argenti,ARG,1989,300,494683,5.42,,,,,,,-15.01%,-0.27%,-17.75%,,,,,,
Argenti,ARG,1990,300,560857,5.97,,,,,,,0.00%,13.38%,10.15%,,,,,,
Argenti,ARG,1991,350,642362,6.44,,,,,,,16.67%,14.53%,7.87%,,,,,,
Argenti,ARG,1992,402,745678,8.71,,,,,,,14.86%,16.08%,35.25%,,,,,,
Argenti,ARG,1993,707,984908,9.28,,,,,,,75.87%,32.08%,6.54%,,,,,,
Argenti,ARG,1994,763,999814,8.09,,,,,,,7.92%,1.51%,-12.82%,,,,,,
Argenti,ARG,1995,1474,1175635,10.05,,,,,,,93.18%,17.59%,24.23%,,,,,,
Argenti,ARG,1996,1322,1290065,11.8,,,,,,,-10.31%,9.73%,17.41%,,,,,,
Argenti,ARG,1997,1314,1389550,11.99,,,,,,,-0.61%,7.71%,1.61%,,,,,,
Argenti,ARG,1998,1040,1165404,11.61,,,,,,,-20.85%,-16.13%,-3.17%,,,,,,
Argenti,ARG,1999,1218,1086938,10.23,,,,,,,17.12%,-6.73%,-11.89%,,,,,,
Argenti,ARG,2000,1784,922289,8.54,,,,,,,46.47%,-15.15%,-16.52%,,,,,,
Argenti,ARG,2001,1340,931282,10.04,,,,,,,-24.89%,0.98%,17.56%,,,,,,
Argenti,ARG,2002,1457,946535,7.25,,,,,,,8.73%,1.64%,-27.79%,,,,,,
Argenti,ARG,2003,1647,911283,7.34,,,,,,,13.04%,-3.72%,1.24%,,,,,,
Argenti,ARG,2004,1848,945978,6.83,,,,,,,12.20%,3.81%,-6.95%,,,,,,
Argenti,ARG,2005,2057,934009,6.71,,,,,,,11.31%,-1.27%,-1.76%,,,,,,
Argenti,ARG,2006,2528,1176616,9.06,,,,,,,22.90%,25.97%,35.02%,,,,,,
Argenti,ARG,2007,2957,992618,7.29,,,,,,,16.97%,-15.64%,-19.54%,,,,,,
Argenti,ARG,2008,2700,999949,7.8,,,,,,,-8.69%,0.74%,7.00%,,,,,,
Argenti,ARG,2009,2582.949951,872632,6.1,,,,,,,-4.34%,-12.73%,-21.79%,,,,,,
Argenti,ARG,2010,2654.349854,818162,5.85,,,,,,,2.76%,-6.24%,-4.10%,,,,,,
Argenti,ARG,2011,3193.25,815988,6.02,,,,,,,20.30%,-0.27%,2.91%,,,,,,
Argenti,ARG,2012,2958.420166,762560,5.88,,,,,,,-7.35%,-6.55%,-2.33%,,,,,,
Argenti,ARG,2013,3825.119873,890305,7.05,,,,,,,29.30%,16.75%,19.90%,,,,,,
Argenti,ARG,2014,4002.709961,853436,5.88,,,,,,,4.64%,-4.14%,-16.60%,,,,,,
Argenti,ARG,2015,3662.650146,835850,7.21,,,,,,,-8.50%,-2.06%,22.62%,,,,,,
Argenti,ARG,2016,3673.484863,771152,6.07,,,,,,,0.30%,-7.74%,-15.81%,,,,,,
Argenti,ARG,2017,3567.76001,849268,7.29,,,,,,,-2.88%,10.13%,20.10%,,,,,,
Armenia,ARM,1992,2565,1885,1.29,,,,,,,,,,,,,,,
Armenia,ARM,1993,2250,1850,1.22,,,,,,,-12.28%,-1.86%,-5.43%,,,,,,
Armenia,ARM,1994,1570,1033,0.94,,,,,,,-30.22%,-44.16%,-22.95%,,,,,,
Armenia,ARM,1995,1120,821,0.99,,,,,,,-28.66%,-20.52%,5.32%,,,,,,
Armenia,ARM,1996,650,580,0.53,,,,,,,-41.96%,-29.35%,-46.46%,,,,,,
Armenia,ARM,1997,670,580,0.52,,,,,,,3.08%,0.00%,-1.89%,,,,,,
Armenia,ARM,1998,437,698,0.58,,,,,,,-34.78%,20.34%,11.54%,,,,,,
Armenia,ARM,1999,889,1144,0.81,,,,,,,103.43%,63.90%,39.66%,,,,,,
Armenia,ARM,2000,893,1133,1.1,,,,,,,0.45%,-0.96%,35.80%,,,,,,
Armenia,ARM,2001,1331,866,1.22,,,,,,,49.05%,-23.57%,10.91%,,,,,,
Armenia,ARM,2002,1020,465,1.09,,,,,,,-23.37%,-46.30%,-10.66%,,,,,,
Armenia,ARM,2003,1064,569,0.79,,,,,,,4.31%,22.37%,-27.52%,,,,,,
Armenia,ARM,2004,813,218,0.49,,,,,,,-23.59%,-61.69%,-37.97%,,,,,,
Armenia,ARM,2005,739,250,2.42,,,,,,,-9.10%,14.68%,393.88%,,,,,,
Armenia,ARM,2006,1056,350,1.44,,,,,,,42.90%,40.00%,-40.50%,,,,,,
Armenia,ARM,2007,3650,1065,2.26,,,,,,,245.64%,204.29%,56.94%,,,,,,
Armenia,ARM,2008,5100,601,3.19,,,,,,,39.73%,-43.57%,41.15%,,,,,,
Armenia,ARM,2009,5240,619,3.4,,,,,,,2.75%,3.00%,6.58%,,,,,,
Armenia,ARM,2010,5000,617,2.6,,,,,,,-4.58%,-0.32%,-23.53%,,,,,,
Armenia,ARM,2011,6300,795,3.22,,,,,,,26.00%,28.85%,23.85%,,,,,,
Armenia,ARM,2012,8850,861,3.42,,,,,,,40.48%,8.30%,6.21%,,,,,,
Armenia,ARM,2013,11700,4099,4.38,,,,,,,32.20%,376.07%,28.07%,,,,,,
Armenia,ARM,2014,13925,4795,5.5,,,,,,,19.02%,16.98%,25.57%,,,,,,
Armenia,ARM,2015,15130,8140,6.59,,,,,,,8.65%,69.76%,19.82%,,,,,,
Armenia,ARM,2016,16381,3758,6.54,,,,,,,8.27%,-53.83%,-0.76%,,,,,,
Armenia,ARM,2017,16690,364,5.83,,,,,,,1.89%,-90.31%,-10.86%,,,,,,
Australia,AUS,1961,6500,57215,12.82,,,,,,,,,,,,,,,
Australia,AUS,1962,5800,62656,11.7,,,,,,,-10.77%,9.51%,-8.74%,,,,,,
Australia,AUS,1963,5900,67819,8.84,,,,,,,1.72%,8.24%,-24.44%,,,,,,
Australia,AUS,1964,5800,68242,12.65,,,,,,,-1.69%,0.62%,43.10%,,,,,,
Australia,AUS,1965,6600,77944,12.78,,,,,,,13.79%,14.22%,1.03%,,,,,,
Australia,AUS,1966,6800,89514,14.21,,,,,,,3.03%,14.84%,11.19%,,,,,,
Australia,AUS,1967,7300,93044,13.28,,,,,,,7.35%,3.94%,-6.54%,,,,,,
